id,created_at,updated_at,status,code_sap,name,fantasy,system,retroactive,owner
53,2019-12-03 15:55:28,2020-08-24 11:12:54,True,10441730,BOCCHI AGRONEGOCIOS & CIA LTDA,BOCCHI,,,1
76,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10439732,COASUL COOP AGROINDUSTRIAL,COASUL,,,1
77,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433718,COCAMAR COOP AGROINDL,COCAMAR,,,1
89,2019-12-03 15:55:28,2020-01-09 11:26:27,True,10559007,COOP AGRARIA DOS CAFEIC SAO GABRIEL,COOABRIEL,,,1
95,2019-12-03 15:55:28,2019-12-27 09:23:33,True,10433594,COOP AGRIC MISTA GEN OSORIO LTDA,COTRIBA,,,1
100,2019-12-03 15:55:28,2020-01-09 12:13:26,True,10547626,COOP AGRIC RURAL CATARINENSE,COOPERRURAL,,,1
104,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550465,COOP AGRO PEC DE BOA ESPERANCA,CAPEBE,,,1
105,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10547756,COOP AGRO PEC DO VALE DO SAPUCAI LT,COOPERVASS,,,1
107,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550742,COOP AGROINDL ALEGRETE LTDA,CAAL,,,1
109,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10447950,COOP AGROINDL BOM JESUS,BJ,,,1
114,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433570,COOP AGROP CAMPONOVENSE LTDA,COOCAM,,,1
120,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10552082,COOP AGROP PLANAL SERRANO LTDA,COOPERPLAN,,,1
121,2019-12-03 15:55:28,2019-12-19 19:23:11,True,10494113,COOP AGROP TRADICAO,COOPERTRADIÇÃO,,,1
122,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433815,COOP AGROP VIDEIRENSE,COOPERVIL,,,1
123,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434562,COOP AGROPEC DE CAMPOS ALTOS LTDA,CAPECA,,,1
127,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10547477,COOP CAFEIC REG LAJINHA LTDA,COOCAFE,,,1
128,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550518,COOP CAFEIC ZN TRES PONTAS LTDA,COCATREL,,,1
130,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10553590,COOP DE CAFEICULTORES E AGROPECUA,COCAPEC,,,1
131,2019-12-03 15:55:28,2019-12-18 16:51:48,True,10433777,COOP DOS PLANT DE CANA DO EST DE SP,COPLACANA,,,1
133,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434150,COOP MISTA SAO LUIZ LTDA,COOPERMIL,,,1
134,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10545465,COOP PLANT CANA DO OESTE EST SP,COOPERCANA,,,1
138,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550068,COOP REG AGROP ALTO V ITAJAI,CRAVIL,,,1
